username,repo_name,urls,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,23100.0
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,17500.0
discordjs,discord.js,https://github.com/discordjs/discord.js,17300.0
hubotio,hubot,https://github.com/hubotio/hubot,16100.000000000002
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,13800.0
RasaHQ,rasa,https://github.com/RasaHQ/rasa,13500.0
wechaty,wechaty,https://github.com/wechaty/wechaty,12000.0
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,12000.0
howdyai,botkit,https://github.com/howdyai/botkit,10600.0
botpress,botpress,https://github.com/botpress/botpress,9600.0
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,8800.0
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,8600.0
leon-ai,leon,https://github.com/leon-ai/leon,8400.0
microsoft,ailab,https://github.com/microsoft/ailab,6900.0
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900.0
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,6700.0
maxbbraun,trump2cash,https://github.com/maxbbraun/trump2cash,6100.0
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,5900.0
deepmipt,DeepPavlov,https://github.com/deepmipt/DeepPavlov,5600.0
botman,botman,https://github.com/botman/botman,5600.0
telegraf,telegraf,https://github.com/telegraf/telegraf,5300.0
axa-group,nlp.js,https://github.com/axa-group/nlp.js,4800.0
jef,streetmerchant,https://github.com/jef/streetmerchant,4700.0
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,4600.0
ohld,igbot,https://github.com/ohld/igbot,4100.0
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,3800.0
Yoctol,bottender,https://github.com/Yoctol/bottender,3800.0
PokemonGoF,PokemonGo-Bot,https://github.com/PokemonGoF/PokemonGo-Bot,3700.0
chrisleekr,binance-trading-bot,https://github.com/chrisleekr/binance-trading-bot,3600.0
snipsco,snips-nlu,https://github.com/snipsco/snips-nlu,3600.0
